Date(UTC),Order No.,Pair,Base Asset,Quote Asset,Type,Order Price,Order Amount,AvgTrading Price,Filled,Total,Trigger Condition,Status
2026-01-02 16:17:26,54801988963,BTC/USDT,BTC,USDT,SELL,90099.99,0.00489,90099.99,0.00489,440.5889511,,Filled
2026-01-02 14:53:04,54793355587,BTC/USDT,BTC,USDT,SELL,89850.29,0.015,89850.29,0.015,1347.75435,,Filled
2026-01-02 14:40:24,54791640061,BTC/USDT,BTC,USDT,BUY,120000.0,0.06586,0.0,0.0,0.0,>= 100000(Time Submitted: ),Canceled
2026-01-02 14:40:24,54791640062,BTC/USDT,BTC,USDT,BUY,88450.0,0.06586,0.0,0.0,0.0,,Canceled
2026-01-02 10:49:50,54784285743,BTC/USDT,BTC,USDT,SELL,89749.98,0.015,89749.98,0.015,1346.2497,,Filled
2026-01-02 10:40:51,54784119091,BTC/USDT,BTC,USDT,SELL,89750.0,0.015,89750.0,0.015,1346.25,,Filled
2026-01-02 10:40:33,54784106085,BTC/USDT,BTC,USDT,SELL,89800.0,0.03,89800.0,0.03,2694.0,,Filled
2026-01-02 10:38:42,54784047113,BTC/USDT,BTC,USDT,SELL,89670.0,0.03,89673.75,0.03,2690.2125,,Filled
2026-01-02 08:28:40,54779680037,BTC/USDT,BTC,USDT,SELL,0.0,0.04488,89062.45,0.04488,3997.122756,,Filled
2026-01-02 08:24:49,54779623734,BTC/USDT,BTC,USDT,SELL,89098.98,0.075,89098.98,0.075,6682.4235,,Filled
2025-12-29 14:44:01,54643153408,BTC/USDT,BTC,USDT,SELL,89700.0,0.075,0.0,0.0,0.0,,Canceled
2025-12-29 12:36:20,54637909841,BTC/USDT,BTC,USDT,BUY,86910.0,0.015,86910.0,0.015,1303.65,,Filled
2025-12-29 12:35:25,54637881889,BTC/USDT,BTC,USDT,BUY,86810.0,0.015,0.0,0.0,0.0,,Canceled
2025-12-29 12:17:54,54636743468,BTC/USDT,BTC,USDT,BUY,86810.0,0.00844,0.0,0.0,0.0,,Canceled
2025-12-29 12:10:09,54636070033,BTC/USDT,BTC,USDT,BUY,87050.0,0.015,87005.01,0.015,1305.07515,,Filled
2025-12-29 11:55:45,54635163371,BTC/USDT,BTC,USDT,BUY,87450.0,0.015,87450.0,0.015,1311.75,,Filled
2025-12-29 11:09:49,54634135063,BTC/USDT,BTC,USDT,BUY,87601.0,0.015,87601.0,0.015,1314.015,,Filled
2025-12-29 11:05:14,54633938786,BTC/USDT,BTC,USDT,BUY,87710.0,0.015,87670.6,0.015,1315.059,,Filled
2025-12-29 11:03:22,54633859382,BTC/USDT,BTC,USDT,BUY,87700.0,0.015,0.0,0.0,0.0,,Canceled
